"address","chain","name","category","tier","source","added_date","evidence","risk_flags","merge_policy","balance_policy","source_snapshot_at","verified_at","status","raw_labels"
"0x9d4c1c9e1f850f22e5940b8385aa5a580798e5de","base","Base 活跃 ERC-4337 Bundler（7日 1914 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）1914 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0x57c5115fe9f1cffdf0607a9b9beefa56a9125870","base","Base 活跃 ERC-4337 Bundler（7日 1914 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）1914 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0xb2f52cb5a2094a00101d91eeb65b85cb1d86431e","base","Base 活跃 ERC-4337 Bundler（7日 1913 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）1913 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0x591dc14b5cd66c104bdeb17d5e2bc844ca3179ca","base","Base 活跃 ERC-4337 Bundler（7日 1912 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）1912 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0x6c9d96942e4dc17d558e13ce679d197ea9b579f1","base","Base 活跃 ERC-4337 Bundler（7日 1912 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）1912 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0x9c4bd019cf2f4ce5945afa82b807e412b820acfd","base","Base 活跃 ERC-4337 Bundler（7日 1912 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）1912 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0xe7538bfa89e46ce0a00b49d6724821e9806c5bf8","base","Base 活跃 ERC-4337 Bundler（7日 1912 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）1912 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0xdb034a1485da0300175b07282f5a84af69c2493e","base","Base 活跃 ERC-4337 Bundler（7日 1912 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）1912 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0x1278c1e48e3c9548a5d9f2b16dc27ed311b0697c","base","Base 活跃 ERC-4337 Bundler（7日 1878 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）1878 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0x048ef1062cbb39b338ac2685da72adf104b4cef5","base","Base 活跃 ERC-4337 Bundler（7日 1760 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）1760 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0x501ef174b66883ba40f92e6fb24bfb49331d4d4c","base","Base 活跃 ERC-4337 Bundler（7日 1745 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）1745 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0xbdbebd58cc8153ce74530bb342427579315915b2","base","Base 活跃 ERC-4337 Bundler（7日 1742 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）1742 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
